lateral_range,lateral_range_delta,lateral_range_percent_change,forward_velocity,forward_velocity_delta,forward_velocity_percent_change,run_name
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,ALNL
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,ALNR
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,AQR
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,ASEL
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,ASER
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,ASGL
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,ASGR
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,ASHL
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,ASHR
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,ASIL
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,ASIR
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,ASJL
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,ASJR
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,ASKL
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,ASKR
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,AUAL
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,AUAR
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,AVAL
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,AVAR
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,AVDL
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,AVDR
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,AVEL
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,AVER
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,AVFL
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,AVFR
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,AVG
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,AVHL
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,AVHR
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,AVJL
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,AVJR
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,AVKL
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,AVKR
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,AVL
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,AVM
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,AWAL
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,AWAR
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,AWBL
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,AWBR
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,AWCL
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,AWCR
